BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
266993,Call to Adventure: The Stormlight Archive,2020,1.9167,5.83246,1,4,60,13,0,0,0,0,0,0,0,0,0
267009,Rome & Roll,2020,3.3171,5.91979,1,4,90,14,1,0,1,0,0,0,0,0,0
267013,Kung Fur Fight!,2018,2.5,5.5637,2,2,30,10,0,0,0,0,0,0,0,0,0
267030,The Singaporean Dream,2018,1.25,5.48976,2,6,20,18,0,0,0,0,0,0,0,0,0
267036,Core Connection: Rise of Atlantis,2020,2.5,5.53468,2,4,90,12,0,0,0,0,0,0,0,0,0
267058,300: Earth & Water,2018,2.1429,5.78929,2,2,30,12,0,0,0,1,0,0,0,0,0
267127,Aerion,2019,1.9429,6.32156,1,2,30,10,0,0,1,0,0,0,0,0,0
267133,Carnavalo,2018,2,5.51877,2,6,60,10,0,0,0,0,0,0,0,0,0
267179,Port Gdańsk,2018,2,5.52268,2,4,40,8,0,0,0,0,0,0,0,0,0
267182,Anthelion: Conclave of Power,2019,2.6667,5.55375,2,2,20,10,1,0,0,0,0,0,0,0,0
267243,The Conquistadors: The Spanish Conquest of the Americas 1518-1548,2020,3.2,5.54937,1,5,360,0,0,0,0,1,0,0,0,0,0
267244,The Defence of Procyon III,2021,3.5,5.55866,1,4,120,14,1,0,0,0,0,0,0,0,0
267246,Blade Rondo,2018,2.1667,5.53987,1,2,20,8,0,0,0,0,0,0,0,0,0
267271,Egizia: Shifting Sands,2019,2.7407,6.24234,2,4,90,14,1,0,1,0,0,0,0,0,0
267304,Western Empires,2019,3.2857,5.76631,5,9,780,12,0,0,1,1,0,0,0,0,0
267313,Plażing: parawany w dłoń,2019,2.4,5.57827,2,4,45,8,0,0,0,0,0,0,0,0,0
267314,My First Castle Panic,2019,1.0833,5.74176,1,4,20,4,0,0,0,0,0,0,0,0,1
267319,Roam,2019,1.8444,6.57837,2,4,45,8,1,0,0,0,1,0,0,0,0
267333,Goetia: Nine Kings of Solomon,2021,3.2857,5.6798,2,4,160,13,1,0,0,0,0,0,0,0,0
